[Info   :BoboBay.Archipelago] [APDebug] Found 940 ItemScriptableObjects:
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Leftover Pizza' | Title: 'Leftover Pizza' | Type: Snack | Price: 1
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_StuffedAnimal' | Title: 'Bunny Stuffed Animal' | Type: Toy | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Skyberry' | Title: 'Skyberry' | Type: Snack | Price: 20
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Angel_Halo' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CoolHelmet_White' | Title: 'Cool Helmet' | Type: Accessory | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cat_Tail' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cat_Feet' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'PointyHat_Red' | Title: 'Pointy Hat' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bat_Cracker' | Title: 'Bat Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Wreath_Green' | Title: 'Wreath' | Type: Accessory | Price: 220
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Angel_Wings' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Galaxyberry' | Title: 'Galaxyberry' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Arms' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juice_EnergyDrink_Hype' | Title: 'Crackthrust Hype' | Type: Juice | Price: 180
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Cracker' | Title: 'Penguin Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Monkey Cracker' | Title: 'Monkey Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'StrawHat_Green' | Title: 'Straw Hat' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bat_Teeth' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'MustacheAndMonocle' | Title: 'Mustache and Monocle' | Type: Accessory | Price: 1000
[Info   :BoboBay.Archipelago] [APDebug] Item: 'PointyHat_Green' | Title: 'Pointy Hat' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Rhino_Horn' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Lava Milk' | Title: 'Lava Milk' | Type: Snack | Price: 45
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Shield_A_Green' | Title: 'Shield' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cat_Arms' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Effect_Stars' | Title: 'Stars' | Type: Accessory | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ClassicPartyHat_Black' | Title: 'Classic Party Hat' | Type: Accessory | Price: 400
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cat_Cracker' | Title: 'Cat Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Key_Silver' | Title: 'Wind-Up Key' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Cat_Ears' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Gumball_NoHead' | Title: 'Gumball' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Fuego de amor' | Title: 'Fuego de amor' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Mustache_Black' | Title: 'Mustache' | Type: Accessory | Price: 600
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Fedora_Black' | Title: 'Cool Fedora' | Type: Accessory | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bunny_Tail' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HeartGlasses_Pink' | Title: 'Heart Glasses' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Sunwelon' | Title: 'Sunwelon' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BigBow_Secondary' | Title: 'Big Bow' | Type: Accessory | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HandBag_White' | Title: 'Hand Bag' | Type: Accessory | Price: 800
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Backpack_D_Orange_Orange' | Title: 'Cute Backpack' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'KelpMustache' | Title: 'Kelp Mustache' | Type: Accessory | Price: 400
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juice_EnergyDrink_Munchie' | Title: 'Crackthrust Munchie' | Type: Juice | Price: 120
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_A' | Title: 'Rainbow Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Hagoromo_Yellow' | Title: 'Hagoromo' | Type: Accessory | Price: 1000
[Info   :BoboBay.Archipelago] [APDebug] Item: 'TopHat_Small_Green' | Title: 'Small Top Hat' | Type: Accessory | Price: 700
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Beak_Bobo' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'KnitHat_Black' | Title: 'Knit Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Gumball_LargeHead' | Title: 'Gumball' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'GoldenTotonut' | Title: 'Golden Totonut' | Type: Snack | Price: 50
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BigBow_Red' | Title: 'Big Bow' | Type: Accessory | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bat_Ears' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Rosa de amor' | Title: 'Rosa de amor' | Type: Snack | Price: 25
[Info   :BoboBay.Archipelago] [APDebug] Item: 'FedoraNormal_Black' | Title: 'Fedora' | Type: Accessory | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Waterwelon' | Title: 'Waterwelon' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Bat_Wings' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Angel_Cracker' | Title: 'Angel Cracker' | Type: Snack | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Orange Shaved Ice' | Title: 'Orange Shaved Ice' | Type: Snack | Price: 30
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Cracker' | Title: 'Dragon Cracker' | Type: Snack | Price: 450
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juicy Goldenana' | Title: 'Juicy Goldenana' | Type: Snack | Price: 70
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BucketHat_Secondary' | Title: 'Bucket Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Backpack_A' | Title: 'Rugged Backpack' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BaseballCap_Secondary' | Title: 'Baseball Cap' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Chocolate Donut' | Title: 'Chocolate Donut' | Type: Snack | Price: 400
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Rosenana' | Title: 'Rosenana' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Snout' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'KnitHat_Cyan' | Title: 'Knit Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Walrus_Tail' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Tail' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juice_Climb' | Title: 'Climb Juice' | Type: Juice | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HipSunGlasses_Eyes' | Title: 'Hip Glasses' | Type: Accessory | Price: 180
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Backpack_E_Pink' | Title: 'Serious Backpack' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Fignut' | Title: 'Fignut' | Type: Snack | Price: 12
[Info   :BoboBay.Archipelago] [APDebug] Item: 'The Loaf' | Title: 'The Loaf' | Type: Snack | Price: 25
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BucketHat_BlueCamo' | Title: 'Bucket Hat' | Type: Accessory | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Smoothie De Amor Bowl' | Title: 'Flarebud Bowl' | Type: Snack | Price: 33
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Restaurant_Burger' | Title: 'Improbable Burger' | Type: Snack | Price: 410
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juicy Fuego de amor' | Title: 'Juicy Fuego de amor' | Type: Snack | Price: 85
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juice_Swim' | Title: 'Swim Juice' | Type: Juice | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Coral de amor' | Title: 'Old Coral de amor' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juice_Strength' | Title: 'Strength Juice' | Type: Juice | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Walrus_Tusks' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Shoes_A_Eyes' | Title: 'Sneakers' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juice_Jump' | Title: 'Jump Juice' | Type: Juice | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'SwimGoggles_Secondary' | Title: 'Swim Goggles' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Wings' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Leafberry' | Title: 'Leafberry' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Rosenana' | Title: 'Old Rosenana' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Baked_Cake' | Title: 'Cake' | Type: Snack | Price: 52
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_ToyCar_A' | Title: 'Red Toy Car' | Type: Toy | Price: 170
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Antlers' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HipGlasses_Secondary' | Title: 'Hip Glasses' | Type: Accessory | Price: 250
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Coral de amor' | Title: 'Coral de amor' | Type: Snack | Price: 15
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BoboSeedlingItemSO' | Title: 'Bobo Seedling' | Type: Other | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Totonut' | Title: 'Totonut' | Type: Snack | Price: 8
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Restaurant_Sushi' | Title: 'Sushi' | Type: Snack | Price: 390
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HeadRock_Big' | Title: 'Big Rock' | Type: Accessory | Price: 20
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Walrus_Cracker' | Title: 'Walrus Cracker' | Type: Snack | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BoboSproutItemSO' | Title: 'Bobo Sprout' | Type: Other | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BaseballCap_BRL_Logo' | Title: 'Baseball Cap' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_PaddleBall' | Title: 'Paddle Ball' | Type: Toy | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'StrawHat_Blue' | Title: 'Straw Hat' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_FestivalFan' | Title: 'Festival Fan' | Type: Toy | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BentoBox_Low' | Title: 'Low Quality Bento Box' | Type: Snack | Price: 10
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Candy Blue' | Title: 'Blue Candy' | Type: Snack | Price: 6
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Yoyo_C' | Title: 'Pink Yo-yo' | Type: Toy | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Doubloon_Night' | Title: 'Night Doubloon' | Type: Toy | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Doubloon_Ocean' | Title: 'Ocean Doubloon' | Type: Toy | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BentoBox_Medium' | Title: 'Medium Quality Bento Box' | Type: Snack | Price: 20
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Goldenana' | Title: 'Old Goldenana' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Vanilla Donut' | Title: 'Vanilla Donut' | Type: Snack | Price: 400
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Candy Green' | Title: 'Green Candy' | Type: Snack | Price: 6
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_C' | Title: 'Sun Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Fuego de amor' | Title: 'Old Fuego de amor' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_GoldBar' | Title: 'Gold Bar' | Type: Toy | Price: 85
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Glowing Carved Pumpkin' | Title: 'Glowing Carved Pumpkin' | Type: Accessory | Price: 400
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_ToyCar_B' | Title: 'Blue Toy Car' | Type: Toy | Price: 170
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_D' | Title: 'Cool Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Waterwelon' | Title: 'Old Waterwelon' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BoneOnBack' | Title: 'Bone' | Type: Accessory | Price: 40
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_PaperAirplane' | Title: 'Paper Airplane' | Type: Toy | Price: 230
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Tablet' | Title: 'Tablet' | Type: Toy | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Yoyo_B' | Title: 'Green Yo-yo' | Type: Toy | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Galaxyberry' | Title: 'Old Galaxyberry' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Cog' | Title: 'Cog' | Type: Toy | Price: 50
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Tea' | Title: 'Tea' | Type: Snack | Price: 2
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Sunwelon' | Title: 'Old Sunwelon' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Doubloon_Ruby' | Title: 'Ruby Doubloon' | Type: Toy | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'DarkGlasses_White' | Title: 'Sassy Sunglasses' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Old Leafberry' | Title: 'Old Leafberry' | Type: Snack | Price: 5
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BentoBox_High' | Title: 'High Quality Bento Box' | Type: Snack | Price: 30
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HeadRock' | Title: 'Rock' | Type: Accessory | Price: 14
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_RCCar' | Title: 'RC Car' | Type: Toy | Price: 800
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_E' | Title: 'Dark Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_F' | Title: 'Striped Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Chain_Silver' | Title: 'Chain' | Type: Accessory | Price: 80
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Yoyo_A' | Title: 'Blue Yo-yo' | Type: Toy | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Candy Pink' | Title: 'Pink Candy' | Type: Snack | Price: 6
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Doubloon_Sun' | Title: 'Sun Doubloon' | Type: Toy | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_B' | Title: 'Split Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ClassicPartyHat_Blue' | Title: 'Classic Party Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Pinwheel' | Title: 'Pinwheel' | Type: Toy | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Candy Orange' | Title: 'Orange Candy' | Type: Snack | Price: 6
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_Kite_G' | Title: 'Sea Kite' | Type: Toy | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Chain_Gold' | Title: 'Chain' | Type: Accessory | Price: 140
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ToyItem_BubbleWand' | Title: 'Bubble Wand' | Type: Toy | Price: 220
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CoolHelmet_Blue' | Title: 'Cool Helmet' | Type: Accessory | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Gators_Red' | Title: 'Gators' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'ClayPot' | Title: 'Clay Pot' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'StrawHat_White' | Title: 'Straw Hat' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'TopHat_Gold' | Title: 'Top Hat' | Type: Accessory | Price: 1700
[Info   :BoboBay.Archipelago] [APDebug] Item: 'OxygenTank' | Title: 'Oxygen Tank' | Type: Accessory | Price: 450
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Shield_A' | Title: 'Shield' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'SeedPacket_Goldenana' | Title: 'Goldenana Seeds' | Type: Seed | Price: 175
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Elephant_Feet' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Monocle_Silver' | Title: 'Monocle' | Type: Accessory | Price: 800
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Cracker 1' | Title: 'Dragon Tail Cracker' | Type: Snack | Price: 700
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Cracker 3' | Title: 'Penguin Wings Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Backpack_G_Blue_Green' | Title: 'Classic Backpack' | Type: Accessory | Price: 200
[Info   :BoboBay.Archipelago] [APDebug] Item: 'HyperGirlyRibbon_Light' | Title: 'Hyper Girly Ribbon' | Type: Accessory | Price: 410
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Unripe Rosa de amor' | Title: 'Small Rosa de amor' | Type: Snack | Price: 10
[Info   :BoboBay.Archipelago] [APDebug] Item: 'FedoraNormal_White' | Title: 'Fedora' | Type: Accessory | Price: 350
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Juicy Rosenana' | Title: 'Juicy Rosenana' | Type: Snack | Price: 85
[Info   :BoboBay.Archipelago] [APDebug] Item: 'TopHat_Small_White' | Title: 'Small Top Hat' | Type: Accessory | Price: 700
[Info   :BoboBay.Archipelago] [APDebug] Item: 'SwimGoggles_Blue' | Title: 'Swim Goggles' | Type: Accessory | Price: 300
[Info   :BoboBay.Archipelago] [APDebug] Item: 'PointyHat_Brown' | Title: 'Pointy Hat' | Type: Accessory | Price: 100
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CatArms_Cracker' | Title: 'Cat Arms Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'PrettyWig_White' | Title: 'Pretty Wig' | Type: Accessory | Price: 900
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BowTie_Red' | Title: 'Bow Tie' | Type: Accessory | Price: 400
[Info   :BoboBay.Archipelago] [APDebug] Item: 'SunHat_Yellow' | Title: 'Sun Hat' | Type: Accessory | Price: 220
[Info   :BoboBay.Archipelago] [APDebug] Item: 'KnitHat_Eyes' | Title: 'Knit Hat' | Type: Accessory | Price: 150
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Elephant_Trunk' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BunnySlippers_Pink' | Title: 'Bunny Slippers' | Type: Accessory | Price: 600
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Horse_Feet' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Beaver Cracker 3' | Title: 'Beaver Tail Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Elephant Cracker 1' | Title: 'Elephant Ears Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dragon_Cracker 3' | Title: 'Dragon Wings Cracker' | Type: Snack | Price: 600
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CatEars_Cracker' | Title: 'Cat Ears Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Cracker 2' | Title: 'Penguin Beak Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Beaver Cracker 1' | Title: 'Beaver Teeth Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Dog_Cracker 3' | Title: 'Dog Tail Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Elephant Cracker 3' | Title: 'Elephant Feet Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Beaver_Tail' | Title: '' | Type: 0 | Price: 0
[Info   :BoboBay.Archipelago] [APDebug] Item: 'BatWings_Cracker' | Title: 'Bat Wings Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'Penguin_Cracker 4' | Title: 'Penguin Feet Cracker' | Type: Snack | Price: 500
[Info   :BoboBay.Archipelago] [APDebug] Item: 'CatFeet_Cracker' | Title: 'Cat Feet Cracker' | Type: Snack | Price: 500
